,macro,iteration,value,n,n_cumsum,cost_cumsum
470,29,6,1.7674369812011719,5.0,24.0,19.0
471,29,7,1.8246700763702393,6.0,30.0,23.0
472,29,8,1.845473051071167,2.0,32.0,25.0
473,29,9,1.8559051752090454,8.0,40.0,30.0
474,29,10,1.887455940246582,5.0,45.0,33.5
475,29,11,1.9297842979431152,8.0,53.0,38.5
476,29,12,1.9287421703338623,1.0,54.0,40.0
477,29,13,1.9277254343032837,6.0,60.0,44.0
478,29,14,1.936037302017212,9.0,69.0,49.5
479,29,15,1.9374942779541016,2.0,71.0,51.5
480,30,0,1.9053032398223877,0.0,0.0,0.0
481,30,1,1.952185869216919,3.0,3.0,3.5
482,30,2,1.9539116621017456,4.0,7.0,6.5
483,30,3,1.955014705657959,3.0,10.0,9.0
484,30,4,1.9470707178115845,5.0,15.0,12.5
485,30,5,1.9534695148468018,6.0,21.0,16.5
486,30,6,1.9550148248672485,4.0,25.0,19.5
487,30,7,1.9546048641204834,7.0,32.0,24.0
488,30,8,1.9540657997131348,3.0,35.0,26.5
489,30,9,1.9536815881729126,5.0,40.0,30.0
490,30,10,1.9537041187286377,5.0,45.0,33.5
491,30,11,1.9544343948364258,11.0,56.0,40.0
492,30,12,1.9549574851989746,10.0,66.0,46.0
493,30,13,1.9401533603668213,7.0,73.0,50.5
494,30,14,1.9444236755371094,7.0,80.0,55.0
495,30,15,1.940967082977295,12.0,92.0,62.0
496,31,0,1.7852966785430908,0.0,0.0,0.0
497,31,1,1.8569180965423584,2.0,2.0,3.0
498,31,2,1.8787535429000854,3.0,5.0,5.5
499,31,3,1.8503109216690063,4.0,9.0,8.5
500,31,4,1.6978830099105835,4.0,13.0,11.5
501,31,5,1.9205704927444458,5.0,18.0,15.0
502,31,6,1.943159580230713,5.0,23.0,18.5
503,31,7,1.9476959705352783,2.0,25.0,20.5
504,31,8,1.9531549215316772,4.0,29.0,23.5
505,31,9,1.9281715154647827,5.0,34.0,27.0
506,31,10,1.9143656492233276,7.0,41.0,31.5
507,31,11,1.9331170320510864,3.0,44.0,34.0
508,31,12,1.9455890655517578,6.0,50.0,38.0
509,31,13,1.9475183486938477,9.0,59.0,43.5
510,31,14,1.944189429283142,4.0,63.0,46.5
511,31,15,1.9486896991729736,3.0,66.0,49.0
512,32,0,1.5368804931640625,0.0,0.0,0.0
513,32,1,1.6517963409423828,3.0,3.0,3.5
514,32,2,1.584940791130066,3.0,6.0,6.0
